Log file for 20:04:21 07/06/26:
Rank    Anime Title                                                                         Prediction    Status
------  ----------------------------------------------------------------------------------  ------------  ---------
#1      Call of the Night                                                                   74.73%        PLANNING
#2      Komi Can’t Communicate                                                              74.26%        PLANNING
#3      Mistress Kanan is Devilishly Easy                                                   72.94%        PLANNING
#4      Oshi No Ko                                                                          72.83%        PLANNING
#5      DON'T TOY WITH ME, MISS NAGATORO                                                    66.33%        PLANNING
#6      Makeine: Too Many Losing Heroines!                                                  62.46%        PLANNING
#7      Toradora!                                                                           61.78%        PLANNING
#8      Tokidoki Bosotto Russiago de Dereru Tonari no Alya-san Season 2                     61.08%        PLANNING
#9      Kokoro Connect                                                                      60.89%        PLANNING
#10     The Angel Next Door Spoils Me Rotten2                                               59.46%        PLANNING
#11     Grandpa and Grandma Turn Young Again                                                59.05%        PLANNING
#12     Plastic Memories                                                                    57.81%        PLANNING
#13     My Deer Friend Nokotan                                                              57.77%        PLANNING
#14     Love, Chunibyo & Other Delusions                                                    56.57%        PLANNING
#15     Summer Pockets                                                                      56.36%        PLANNING
#16     BOCCHI THE ROCK!                                                                    53.54%        PLANNING
#17     The Helpful Fox Senko-san                                                           53.52%        PLANNING
#18     The Shiunji Family Children                                                         51.89%        PLANNING
#19     Love Lab                                                                            51.29%        PLANNING
#20     Bottom-Tier Character Tomozaki                                                      50.72%        PLANNING
#21     My Friend's Little Sister Has It In for Me!                                         50.27%        PLANNING
#22     Tune In to the Midnight Heart                                                       49.91%        PLANNING
#23     O Maidens in Your Savage Season                                                     49.09%        PLANNING
#24     SUPER HXEROS                                                                        46.02%        PLANNING
#25     Mysteria Friends                                                                    45.87%        PLANNING
#26     Kakushite! Makina-san!                                                              44.83%        PLANNING
#27     This Art Club Has a Problem!                                                        44.64%        PLANNING
#28     Cultural Exchange with a Game Centre Girl                                           42.51%        PLANNING
#29     Mechanical Marie                                                                    41.50%        PLANNING
#30     Even a Replica Can Fall in Love                                                     40.83%        PLANNING
#31     Food for the Soul                                                                   40.10%        PLANNING
#32     Drug Store in Another World - The Slow Life of a Cheat Pharmacist                   39.69%        PLANNING
#33     Science Fell in Love, So I Tried to Prove It r=1-sinθ                               38.84%        PLANNING
#34     Nyaruko: Crawling with Love!                                                        38.80%        PLANNING
#35     My Sweet Tyrant                                                                     35.48%        PLANNING
#36     kiss×sis (TV)                                                                       32.56%        PLANNING
#37     Kiss x Sis                                                                          30.77%        PLANNING
#38     Agents of the Four Seasons: Dance of Spring                                         28.07%        PLANNING
#39     The Villainess Is Adored by the Prince of the Neighbor Kingdom                      27.02%        PLANNING
#40     Chitose-kun wa Ramune Bin no Naka Part 2                                            26.77%        PLANNING
#41     A Misanthrope Teaches a Class for Demi-Humans                                       25.18%        PLANNING
#42     Heroine? Saint? No, I’m an All-Works Maid (And Proud of It)!                        24.65%        PLANNING
#43     The Villager of Level 999                                                           6.70%         PLANNING
#1      Miss Kobayashi's Dragon Maid                                                        100.00%       COMPLETED
#2      Miss Kobayashi's Dragon Maid S                                                      97.37%        COMPLETED
#3      The Pet Girl of Sakurasou                                                           94.24%        COMPLETED
#4      Alma-chan Wants to Be a Family!                                                     91.30%        COMPLETED
#5      ONIMAI: I'm Now Your Sister!                                                        80.41%        COMPLETED
#6      Gabriel DropOut                                                                     80.19%        COMPLETED
#7      Alya Sometimes Hides Her Feelings in Russian                                        73.09%        COMPLETED
#8      Cosmic Princess Kaguya!                                                             67.51%        COMPLETED
#9      Welcome to Japan, Ms. Elf!                                                          66.94%        COMPLETED
#10     You and I Are Polar Opposites                                                       65.95%        DROPPED
#11     I Want to End this Love Game                                                        65.54%        CURRENT
#12     TONIKAWA: Over The Moon For You                                                     65.21%        COMPLETED
#13     Rascal Does Not Dream of Bunny Girl Senpai                                          64.87%        DROPPED
#14     Miss Kobayashi's Dragon Maid: A lonely dragon wants to be loved                     64.14%        COMPLETED
#15     And you thought there is never a girl online?                                       63.83%        COMPLETED
#16     The Angel Next Door Spoils Me Rotten                                                61.00%        COMPLETED
#17     I Made Friends with the Second Prettiest Girl in My Class                           59.65%        CURRENT
#18     Kaguya-sama: Love is War                                                            56.65%        DROPPED
#19     Ichijyoma Mankitsu Gurashi!                                                         55.73%        CURRENT
#20     Studio Apartment, Good Lighting, Angel Included                                     50.92%        COMPLETED
#21     Yamada and the Seven Witches                                                        50.02%        DROPPED
#22     Amagi Brilliant Park                                                                49.98%        COMPLETED
#23     TONIKAWA: Over The Moon For You Season 2                                            49.93%        COMPLETED
#24     Why the hell are you here, Teacher!?                                                46.91%        DROPPED
